"Dancers by Audition Number"
"#","Pref","Name","Desired","Dance Name"
"1","5","مهراد علیزاده","1","test stuff"
"2","2","aatu savela","4","test stuff"
"3","4","hilário da luz","2","test stuff"
"9","1","julian gerard","1","test stuff"
"12","3","batur berberoğlu","3","test stuff"
"13","1","onni manner","4","test stuff"
"15","5","uta glaß","2","test stuff"
"16","3","norbert hau","4","test stuff"
"18","1","james payne","1","test stuff"
"19","5","suelen fernandes","1","test stuff"
"21","5","enrique ferguson","1","test stuff"
"22","6","katie long","4","test stuff"
"23","1","lonnie george","1","test stuff"
"24","5","valentin mercier","3","test stuff"
"25","2","magnus poulsen","3","test stuff"
"27","2","cléa fournier","4","test stuff"
"32","5","zachary hoffman","1","test stuff"
"38","7","alexis gill","2","test stuff"
"40","7","dana howell","3","test stuff"
"41","1","ariane caldeira","2","test stuff"
"42","5","karen palmer","1","test stuff"
"44","2","malthe pedersen","4","test stuff"
"46","1","mariama baelemans","4","test stuff"
"47","2","arron holt","2","test stuff"
"48","6","lucas larsen","2","test stuff"
"51","2","seth rogers","1","test stuff"
"54","4","jeppe kristensen","4","test stuff"
"55","2","annabelle brar","2","test stuff"
"57","5","عرشيا پارسا","2","test stuff"
"58","6","ymkje van heteren","4","test stuff"
"59","4","josefine poulsen","4","test stuff"
"65","6","david hall","4","test stuff"
"68","3","brad medina","3","test stuff"
"69","3","safiye baaten","3","test stuff"
"70","2","beverly payne","1","test stuff"
"71","3","ellie murray","1","test stuff"
"75","3","mario montero","1","test stuff"
"79","1","milan fernandez","3","test stuff"
"83","3","vilma lampo","4","test stuff"
"84","2","bosse schoutens","1","test stuff"
"87","2","fabian amundsen","4","test stuff"
"89","5","carter margaret","1","test stuff"
"90","7","gökhan türkdoğan","4","test stuff"
"92","4","sharon jimenez","2","test stuff"
"93","6","ben haraldsen","3","test stuff"
"95","5","evelyn hall","4","test stuff"
"97","3","filino costa","1","test stuff"
"98","3","grayson kumar","2","test stuff"
"100","4","florian thaler","1","test stuff"
"101","5","john clarke","2","test stuff"
"102","3","arron berry","3","test stuff"
"103","4","ceyhan bolatlı","4","test stuff"
"104","4","ken cunningham","4","test stuff"
"105","1","daniel morel","4","test stuff"
"106","2","jayden fields","3","test stuff"
"108","6","milton grant","3","test stuff"
"109","6","luisa middelveld","1","test stuff"
"110","5","edileusa da mota","4","test stuff"
"112","5","raquel aguilar","4","test stuff"
"114","2","adriana landro","4","test stuff"
"116","4","adiel lopes","4","test stuff"
"117","4","dwayne welch","1","test stuff"
"118","2","sarah margaret","2","test stuff"
"119","4","melinda nguyen","4","test stuff"
"120","2","alfred watkins","2","test stuff"
"121","5","brecht van veluw","3","test stuff"
"122","2","ellen rinne","4","test stuff"
"123","2","johanne mortensen","1","test stuff"
"124","1","eliza fisher","1","test stuff"
"129","2","louis martin","1","test stuff"
"130","2","stanley nichols","1","test stuff"
"132","7","brielle mitchell","4","test stuff"
"133","6","efe atan","4","test stuff"
"135","4","emre babacan","4","test stuff"
"137","3","daniel kristensen","4","test stuff"
"140","3","wolf-dietrich greve","4","test stuff"
"142","7","ethan aubert","1","test stuff"
"144","5","davut erberk","4","test stuff"
"146","4","arthur davies","1","test stuff"
"148","4","chris miller","4","test stuff"
"149","5","judith ross","4","test stuff"
"151","7","lene herb","1","test stuff"
"152","1","edona guerin","4","test stuff"
"153","1","alice gill","1","test stuff"
"155","3","layla roberts","4","test stuff"
"158","3","albin kuch","4","test stuff"
"162","4","capucine dumas","2","test stuff"
"164","2","jonathan evans","4","test stuff"
"166","2","anthony henry","2","test stuff"
"169","2","marianne clark","4","test stuff"
"171","6","nooa perala","4","test stuff"
"172","2","clarence mitchell","2","test stuff"
"173","3","victor christensen","1","test stuff"
"175","5","abílio campos","4","test stuff"
"176","4","lotta kauppila","4","test stuff"
"179","1","nicole arnold","3","test stuff"
"180","3","aiden li","3","test stuff"
"181","2","تارا صدر","2","test stuff"
